DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
03/01/23,00:00,141.6,143.25,141.56,141.78,21098550
04/01/23,00:00,141.85,142.28,140.75,141.43,17112740
05/01/23,00:00,141.6,141.84,140.54,141.27,17245300
06/01/23,00:00,141.39,141.62,140.9,141.4,10657600
09/01/23,00:00,141.83,142.99,141.65,142.4,31449160
10/01/23,00:00,142.1,142.85,141.31,142.81,23718180
11/01/23,00:00,142.97,149.98,142.87,149.96,123147040
12/01/23,00:00,150.02,150.79,148.39,149.3,46789300
13/01/23,00:00,149.58,153.28,147.71,151.69,88520210
16/01/23,00:00,152.89,154.0,151.88,153.71,51753920
17/01/23,00:00,154.0,154.31,150.01,150.45,84404770
18/01/23,00:00,150.4,153.0,149.41,151.47,67511970
19/01/23,00:00,151.2,152.85,148.56,149.34,66813960
20/01/23,00:00,149.7,151.4,148.64,151.38,44254820
23/01/23,00:00,151.9,154.1,151.01,153.5,55198870
24/01/23,00:00,153.95,155.58,152.28,152.66,78734130
25/01/23,00:00,152.45,153.6,151.5,152.81,43376700
26/01/23,00:00,153.32,154.3,151.73,152.4,45513320
27/01/23,00:00,152.4,153.48,151.69,153.2,34123690
30/01/23,00:00,153.5,153.88,152.21,153.38,31105220
31/01/23,00:00,153.51,158.18,153.3,158.07,77890320
01/02/23,00:00,158.2,159.6,156.5,158.29,66332200
02/02/23,00:00,158.4,160.29,157.37,159.45,53866380
03/02/23,00:00,159.1,162.32,157.88,161.26,63735330
06/02/23,00:00,161.78,167.17,161.01,167.09,89083530
07/02/23,00:00,167.3,168.7,163.4,165.39,92661570
08/02/23,00:00,165.0,166.35,162.7,164.15,58669030
09/02/23,00:00,164.33,167.47,161.27,165.31,107139220
10/02/23,00:00,165.0,166.49,164.5,165.52,40924680
13/02/23,00:00,165.2,166.88,164.17,164.32,36212200
14/02/23,00:00,164.3,164.38,161.64,161.86,58832960
15/02/23,00:00,160.94,161.12,153.83,156.25,113804160
16/02/23,00:00,157.33,159.3,156.25,158.22,68549280
17/02/23,00:00,158.0,160.38,156.91,159.73,52179940
20/02/23,00:00,159.41,161.3,156.73,160.09,63971610
21/02/23,00:00,160.66,165.65,159.26,164.15,127422480
22/02/23,00:00,164.13,164.42,162.5,163.37,43772430
24/02/23,00:00,163.33,165.5,163.1,164.3,37727230
27/02/23,00:00,163.52,170.0,162.96,169.95,100133280
28/02/23,00:00,170.5,171.92,168.37,169.82,80748140
01/03/23,00:00,170.4,171.66,169.5,170.53,53784730
02/03/23,00:00,170.4,170.4,166.55,168.05,86095640
03/03/23,00:00,168.17,171.26,167.9,171.16,49566770
06/03/23,00:00,172.14,172.99,171.35,171.84,64585290
07/03/23,00:00,171.87,174.2,171.0,174.01,55287380
09/03/23,00:00,174.85,174.89,172.21,172.55,80393110
10/03/23,00:00,171.55,173.0,170.58,172.53,50256970
13/03/23,00:00,172.5,173.9,169.26,172.15,74032280
14/03/23,00:00,171.61,176.95,171.01,175.71,89325670
15/03/23,00:00,176.0,177.37,173.59,175.3,79930290
16/03/23,00:00,174.94,176.04,173.36,175.45,51534160
17/03/23,00:00,183.0,193.66,178.56,193.59,388164850
20/03/23,00:00,196.02,205.09,195.0,203.73,156714250
21/03/23,00:00,204.76,208.0,201.25,203.32,122583960
22/03/23,00:00,203.4,204.4,201.59,202.89,57568140
23/03/23,00:00,202.53,204.2,202.22,202.58,26650230
24/03/23,00:00,202.86,203.85,202.0,203.57,24325540
27/03/23,00:00,204.01,213.2,204.01,211.84,101521380
28/03/23,00:00,212.86,214.7,210.67,214.03,73901050
29/03/23,00:00,214.85,219.53,213.6,217.99,96682530
30/03/23,00:00,217.3,218.45,216.12,216.87,40886950
31/03/23,00:00,217.2,217.35,211.3,216.6,88081360
03/04/23,00:00,218.45,219.44,214.8,216.09,55175630
04/04/23,00:00,216.2,217.29,213.8,214.83,45803380
05/04/23,00:00,214.65,216.3,211.4,216.15,46177490
06/04/23,00:00,216.3,217.38,214.07,214.25,39061450
07/04/23,00:00,214.5,216.39,213.65,216.27,29198130
10/04/23,00:00,217.1,222.26,216.61,222.21,85196000
11/04/23,00:00,222.9,223.33,217.62,218.6,98538370
12/04/23,00:00,218.6,219.7,216.67,219.22,44767540
13/04/23,00:00,219.49,220.89,218.0,219.85,32672160
14/04/23,00:00,220.0,222.5,218.51,221.87,43316040
17/04/23,00:00,222.98,228.2,222.91,228.1,78797270
18/04/23,00:00,227.89,232.76,227.05,232.66,97770120
19/04/23,00:00,232.67,237.37,231.1,232.95,115713300
20/04/23,00:00,233.32,236.47,229.84,236.28,85093750
21/04/23,00:00,237.4,238.85,233.52,235.17,115905760
24/04/23,00:00,235.07,236.4,234.1,235.1,30536770
25/04/23,00:00,235.13,235.82,234.21,235.3,32187450
